date (float),date (string),latitude,longitude,ekman_upwelling,wind_u,wind_v,sst,wind_speed,sst_diff,sst_decrease,upwelling1day,upwelling3day
19000,2022-01-08,34.833,-123.833,2.2479683e-06,0.01,-6.52,12.35,6.520007668707146,0.0600000000000005,False,0,0
19001,2022-01-09,34.833,-123.833,-9.4250527e-07,-3.59,4.09,12.35,5.442076809454273,0.0,False,0,0
19002,2022-01-10,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.61,6.719014585487964,0.2599999999999998,False,0,0
19003,2022-01-11,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.87,6.719014585487964,0.2599999999999998,False,0,0
19004,2022-01-12,34.833,-123.833,-6.074521e-06,1.34,-5.72,13.01,5.87486170049985,0.14000000000000057,False,0,0
19005,2022-01-13,34.833,-123.833,-2.70288e-06,0.64,-4.65,13.05,4.693836384025332,0.040000000000000924,False,0,0
19006,2022-01-14,34.833,-123.833,-9.716845e-07,1.58,-9.47,12.98,9.600900999385422,-0.07000000000000028,True,1,0
19007,2022-01-15,34.833,-123.833,3.278729e-06,-0.51,-8.06,12.96,8.076119117496969,-0.019999999999999574,True,0,0
19008,2022-01-16,34.833,-123.833,-3.6181756e-08,-0.92,0.43,13.06,1.0155294185792947,0.09999999999999964,False,0,0
19009,2022-01-17,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.13,6.719014585487964,0.07000000000000028,False,0,0
19010,2022-01-18,34.833,-123.833,-2.526137441753986e-06,1.38,-1.46,13.04,2.008979840615629,-0.09000000000000163,True,0,0
19011,2022-01-19,34.833,-123.833,6.908565e-06,1.42,-9.09,12.94,9.200244561966818,-0.09999999999999964,True,1,0
19012,2022-01-20,34.833,-123.833,1.8838239e-06,0.18,-8.56,12.67,8.56189231420251,-0.2699999999999996,True,1,0
19013,2022-01-21,34.833,-123.833,5.0285016e-06,1.11,-10.01,13.07,10.071355420200401,0.40000000000000036,False,0,0
19014,2022-01-22,34.833,-123.833,-1.74087e-06,1.18,-6.77,13.63,6.872066646941079,0.5600000000000005,False,0,0
19015,2022-01-23,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.64,6.719014585487964,0.009999999999999787,False,0,0
19016,2022-01-24,34.833,-123.833,-1.1701313e-06,2.14,-4.26,13.54,4.767305318521145,-0.10000000000000142,True,0,0
19017,2022-01-25,34.833,-123.833,2.5799156e-06,3.65,-5.69,13.39,6.760073964092404,-0.14999999999999858,True,1,0
19018,2022-01-26,34.833,-123.833,5.1571714e-08,2.35,-1.71,13.18,2.906303494131334,-0.21000000000000085,True,0,0
19019,2022-01-27,34.833,-123.833,-1.4365825e-06,-1.24,-0.75,13.06,1.4491721774861674,-0.11999999999999922,True,0,0
19020,2022-01-28,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.06,6.719014585487964,0.0,False,0,0
19021,2022-01-29,34.833,-123.833,5.31912e-06,-1.25,-7.03,13.17,7.140266101483894,0.10999999999999943,False,0,0
19022,2022-01-30,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.19,6.719014585487964,0.019999999999999574,False,0,0
19023,2022-01-31,34.833,-123.833,-2.766657e-06,1.54,-10.45,13.14,10.562864194904712,-0.049999999999998934,True,1,1
19024,2022-02-01,34.833,-123.833,6.6260773e-06,3.88,-10.95,12.9,11.617095161872438,-0.2400000000000002,True,1,1
19025,2022-02-02,34.833,-123.833,1.3130582e-05,1.4,-12.7,12.84,12.776932339180638,-0.0600000000000005,True,1,1
19026,2022-02-03,34.833,-123.833,-3.7059547e-06,1.55,-9.46,12.64,9.586141037977692,-0.1999999999999993,True,1,1
19027,2022-02-04,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.62,6.719014585487964,-0.02000000000000135,True,0,0
19028,2022-02-05,34.833,-123.833,-2.526137441753986e-06,1.92,-6.96,12.66,7.2199722991158355,0.040000000000000924,False,0,0
19029,2022-02-06,34.833,-123.833,-6.033502e-06,-0.08,-7.53,12.6,7.5304249548083275,-0.0600000000000005,True,0,0
19030,2022-02-07,34.833,-123.833,-5.0838846e-08,1.5,-7.19,12.52,7.3448008822567825,-0.08000000000000007,True,1,0
19031,2022-02-08,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.81,6.719014585487964,0.2900000000000009,False,0,0
19032,2022-02-09,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.91,6.719014585487964,0.09999999999999964,False,0,0
19033,2022-02-10,34.833,-123.833,-2.526137441753986e-06,0.81,-3.37,13.01,3.4659774955991853,0.09999999999999964,False,0,0
19034,2022-02-11,34.833,-123.833,-2.526137441753986e-06,2.82,-1.1,13.13,3.026945655276949,0.120000000000001,False,0,0
19035,2022-02-12,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.17,6.719014585487964,0.03999999999999915,False,0,0
19036,2022-02-13,34.833,-123.833,3.162339e-07,0.13,-4.69,13.13,4.691801359819062,-0.03999999999999915,True,0,0
19037,2022-02-14,34.833,-123.833,4.9919563e-06,2.76,-7.76,12.97,8.236212721876482,-0.16000000000000014,True,1,0
19038,2022-02-15,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.9,6.719014585487964,-0.07000000000000028,True,0,0
19039,2022-02-16,34.833,-123.833,-2.526137441753986e-06,4.02,-13.94,12.69,14.508066721655231,-0.21000000000000085,True,1,0
